asker_name,asker_reputation,question,tags,time_asked,views,no_answers,no_votes_question,has_accepted_answer,answerer_name,answerer_reputation,no_votes_answer,time_answered,link
Nishant Piyush,1,Getting error with sql query using python,['mysql'/ 'sql'/ 'python-3.x'/ 'mysql-python'/ 'mysql-connector'],2022-12-19 15:48:16Z,14,1,0,False,Liutprand,467,0,2022-12-19 16:16:44Z,https://stackoverflow.com/questions/74852811/getting-error-with-sql-query-using-python
panthro,219,JSON column or nullable fields?,['mysql'],2022-12-19 15:37:11Z,20,1,0,False,Bill Karwin,520000,0,2022-12-19 18:17:47Z,https://stackoverflow.com/questions/74852671/json-column-or-nullable-fields
SempriGno,11,How does mysql_real_escape_string() work?,['mysql'/ 'sql'/ 'mariadb'/ 'escaping'/ 'quote'],2022-12-19 15:27:35Z,30,0,0,False,,,,,https://stackoverflow.com/questions/74852541/how-does-mysql-real-escape-string-work
rich lukas,1,How do I query the code of a stored query in SQL,['mysql'/ 'sql'/ 'stored-queries'],2022-12-19 15:18:49Z,26,0,0,False,,,,,https://stackoverflow.com/questions/74852442/how-do-i-query-the-code-of-a-stored-query-in-sql
Suhail Gupta,219,Getting the aggregation result from the single query,['mysql'/ 'sql'/ 'join'/ 'left-join'/ 'relational-database'],2022-12-19 15:01:17Z,27,1,0,False,GarethD,66800,0,2022-12-19 15:29:40Z,https://stackoverflow.com/questions/74852249/getting-the-aggregation-result-from-the-single-query
BTECH-EXPERT,1,How optimize query,['mysql'/ 'sql'/ 'phpmyadmin'/ 'mysql-workbench'],2022-12-19 15:01:05Z,20,0,-1,False,,,,,https://stackoverflow.com/questions/74852245/how-optimize-query
Rishab Sud,56,sql query discrepancy,['mysql'/ 'sql'],2022-12-19 14:40:24Z,16,1,0,True,Tim Biegeleisen,482000,1,2022-12-19 14:42:51Z,https://stackoverflow.com/questions/74851989/sql-query-discrepancy
stanhook,51,MySQL Select Statement using the same table and column but different names for an alias,['mysql'],2022-12-19 14:35:37Z,22,1,-1,False,stanhook,51,0,2022-12-19 16:38:03Z,https://stackoverflow.com/questions/74851931/mysql-select-statement-using-the-same-table-and-column-but-different-names-for-a
Jagadeesh Jaggi,1,Display vowels character in sql query [closed],['mysql'/ 'sql'],2022-12-19 14:32:40Z,12,0,-2,False,,,,,https://stackoverflow.com/questions/74851890/display-vowels-character-in-sql-query
Leon R,1,"MariaDB, MySQL, Incorrect double value 1366",['mysql'/ 'pymysql'],2022-12-19 14:29:37Z,13,0,0,False,,,,,https://stackoverflow.com/questions/74851857/mariadb-mysql-incorrect-double-value-1366
ReCodink16,1,Problem with my update student college library application (Java Frame with MySQL (XAMPP)) [duplicate],['java'/ 'mysql'/ 'function'/ 'xampp'/ 'jframe'],2022-12-19 14:10:43Z,6,0,-2,False,,,,,https://stackoverflow.com/questions/74851640/problem-with-my-update-student-college-library-application-java-frame-with-mysq
MattHN80,11,transfer several parameters from a form into SQL query,['mysql'],2022-12-19 14:07:23Z,23,2,0,False,MattHN80,6888,1,2022-12-19 14:32:18Z,https://stackoverflow.com/questions/74851607/transfer-several-parameters-from-a-form-into-sql-query
Yeongjin Song,11,Python mySQL excutemany doesn't seem to work with for loop,['python'/ 'mysql'/ 'for-loop'],2022-12-19 13:53:19Z,23,1,1,False,Waled Ahmad,16,0,2022-12-19 14:05:36Z,https://stackoverflow.com/questions/74851459/python-mysql-excutemany-doesnt-seem-to-work-with-for-loop
Daniel Agra,1,Making conditions in php sql [closed],['php'/ 'mysql'/ 'sql'/ 'database'],2022-12-19 13:34:34Z,31,1,-3,False,Pavel Tuzov,189,0,2022-12-19 13:40:48Z,https://stackoverflow.com/questions/74851279/making-conditions-in-php-sql
Taha Malik,9,How to skip accessor when eager loading inside model relations,['mysql'/ 'laravel'/ 'model'/ 'relationship'/ 'accessor'],2022-12-19 13:30:18Z,21,1,0,False,Abid Raheem,11,0,2022-12-19 13:53:54Z,https://stackoverflow.com/questions/74851241/how-to-skip-accessor-when-eager-loading-inside-model-relations
Sunny,1,Quantity in dropdown [closed],['php'/ 'mysql'],2022-12-19 13:18:56Z,28,0,-1,False,,,,,https://stackoverflow.com/questions/74851104/quantity-in-dropdown
alwaysStuck,1,var_dump results two different results [duplicate],['php'/ 'mysql'/ 'arrays'/ 'var-dump'],2022-12-19 12:58:31Z,53,1,-2,False,Mohammad Shohidul Islam,1,-2,2022-12-19 13:02:08Z,https://stackoverflow.com/questions/74850869/var-dump-results-two-different-results
Jothi Raj,1,Needed Customized Auto_generated id -> In NestJs with Mysql,['mysql'/ 'mongodb'/ 'nestjs'],2022-12-19 12:51:03Z,16,0,0,False,,,,,https://stackoverflow.com/questions/74850788/needed-customized-auto-generated-id-in-nestjs-with-mysql
John Doe,11,Grouped ranking in mySQL - is it possible? [duplicate],['mysql'/ 'rank'/ 'group'],2022-12-19 12:33:06Z,28,0,-1,False,,,,,https://stackoverflow.com/questions/74850593/grouped-ranking-in-mysql-is-it-possible
Tolkienist Coder,33,Why I can't use slice method in Node.js? [duplicate],['javascript'/ 'mysql'/ 'node.js'/ 'arrays'/ 'pagination'],2022-12-19 12:27:00Z,20,0,-1,False,,,,,https://stackoverflow.com/questions/74850524/why-i-cant-use-slice-method-in-node-js
panthro,219,Table structure for additional data that exists for some rows but not others? [duplicate],['mysql'],2022-12-19 11:58:25Z,21,0,-1,False,,,,,https://stackoverflow.com/questions/74850209/table-structure-for-additional-data-that-exists-for-some-rows-but-not-others
tugglan,3,Poor query performance when setting timeZone,['mysql'/ 'performance'/ 'timezone'],2022-12-19 11:54:48Z,20,1,0,False,Rick James,130000,0,2022-12-19 17:58:25Z,https://stackoverflow.com/questions/74850171/poor-query-performance-when-setting-timezone
Víctor Rosillo,45,Connect my python app within a docker container in wsl to a local MySQL database in windows,['python'/ 'mysql'/ 'docker'/ 'windows-subsystem-for-linux'],2022-12-19 11:47:00Z,20,0,0,False,,,,,https://stackoverflow.com/questions/74850090/connect-my-python-app-within-a-docker-container-in-wsl-to-a-local-mysql-database
Domingo,1,PHP View Button to fetch a specific details on a selected row [duplicate],['php'/ 'mysql'],2022-12-19 11:43:30Z,19,0,-1,False,,,,,https://stackoverflow.com/questions/74850036/php-view-button-to-fetch-a-specific-details-on-a-selected-row
bigwall,3,(Laravel) How do i update my database when i select an option from HTML selections and after i press a button?,['php'/ 'mysql'/ 'laravel'],2022-12-19 11:20:21Z,33,1,-2,False,Omcho,29,0,2022-12-19 12:22:22Z,https://stackoverflow.com/questions/74849774/laravel-how-do-i-update-my-database-when-i-select-an-option-from-html-selectio
mynameisbutt,147,get nearby users using spatial index mysql,['mysql'/ 'indexing'/ 'spatial'],2022-12-19 11:16:13Z,17,1,0,False,Rick James,130000,0,2022-12-19 15:21:00Z,https://stackoverflow.com/questions/74849741/get-nearby-users-using-spatial-index-mysql
PCcloob.Ir,77,How to select from database using explode,['mysql'/ 'sql'],2022-12-19 10:56:33Z,29,1,1,False,Dúver Cruz,186,2,2022-12-19 11:09:13Z,https://stackoverflow.com/questions/74849529/how-to-select-from-database-using-explode
Terriff,1,Numbers of dimensions of vectors in Information Retrieval Vector Space Model?,['c#'/ 'mysql'/ 'search'/ 'full-text-search'/ 'information-retrieval'],2022-12-19 10:55:55Z,17,1,-1,False,Bradley Grainger,26800,0,2022-12-19 14:22:41Z,https://stackoverflow.com/questions/74849516/numbers-of-dimensions-of-vectors-in-information-retrieval-vector-space-model
Tammapao,5,How to show on view some of the articles depending on their order (Laravel 8),['mysql'/ 'pagination'/ 'laravel-8'/ 'laravel-controller'],2022-12-19 09:17:36Z,14,1,0,True,Aios,116,0,2022-12-19 09:20:06Z,https://stackoverflow.com/questions/74848402/how-to-show-on-view-some-of-the-articles-depending-on-their-order-laravel-8
marcos avila,1,Database initialization failed,['mysql'],2022-12-19 09:11:57Z,32,0,-1,False,,,,,https://stackoverflow.com/questions/74848334/database-initialization-failed
thecarpenter77,1,PHP fetching data from MySQL database in the following JSON format,['php'/ 'mysql'/ 'sql'/ 'arrays'/ 'json'],2022-12-19 09:11:08Z,32,0,-2,False,,,,,https://stackoverflow.com/questions/74848328/php-fetching-data-from-mysql-database-in-the-following-json-format
FedDam95,1,mySQL XOR decrypt [closed],['mysql'/ 'sql'],2022-12-19 09:00:28Z,30,1,-2,False,Mohammed Hesham Farhan,21,1,2022-12-19 09:40:57Z,https://stackoverflow.com/questions/74848205/mysql-xor-decrypt
Jaki,1,"I get ""SQLSTATE[HY000] [2002] Connection refused"" when i use remote container on VScode",['mysql'/ 'laravel'/ 'docker'],2022-12-19 08:56:54Z,32,1,0,False,Abid Raheem,11,0,2022-12-19 09:25:43Z,https://stackoverflow.com/questions/74848164/i-get-sqlstatehy000-2002-connection-refused-when-i-use-remote-container-on
SAI SANTOSH CHIRAG,2036,Update all columns on duplicate in Insert on select,['mysql'],2022-12-19 08:52:11Z,29,0,0,False,,,,,https://stackoverflow.com/questions/74848104/update-all-columns-on-duplicate-in-insert-on-select
Sunil Garg,136,ER_NOT_SUPPORTED_AUTH_MODE - Client does not support authentication protocol requested by server; consider upgrading MySQL client,['mysql'/ 'node.js'],2022-12-19 07:45:01Z,24,0,-1,False,,,,,https://stackoverflow.com/questions/74847518/er-not-supported-auth-mode-client-does-not-support-authentication-protocol-req
Aary,57,How to edit my.cnf file which is present in kubernetes mysql container?,['mysql'/ 'kubernetes'],2022-12-19 07:22:40Z,36,1,-1,False,Veera Nagireddy,471,0,2022-12-19 08:41:57Z,https://stackoverflow.com/questions/74847314/how-to-edit-my-cnf-file-which-is-present-in-kubernetes-mysql-container
Muaviya,1,How to update multiple columns with different data?,['mysql'/ 'node.js'],2022-12-19 07:21:32Z,35,1,-1,False,Akina,36200,0,2022-12-19 13:30:15Z,https://stackoverflow.com/questions/74847309/how-to-update-multiple-columns-with-different-data
Sarthak Lamba,3,"Django is asking to delete column, which does not even exists",['python'/ 'mysql'/ 'django'/ 'phpmyadmin'],2022-12-19 06:47:40Z,38,2,0,False,Manoj Tolagekar,1959,0,2022-12-19 06:53:20Z,https://stackoverflow.com/questions/74847061/django-is-asking-to-delete-column-which-does-not-even-exists
Francisco,1,Build dynamic Telegram ReplyKeyboard,['javascript'/ 'mysql'/ 'node.js'/ 'arrays'/ 'node-telegram-bot-api'],2022-12-19 06:37:29Z,36,1,0,False,Anton Trofymenko,1,0,2022-12-19 09:36:25Z,https://stackoverflow.com/questions/74846987/build-dynamic-telegram-replykeyboard
vivek murali,11,Spring Boot field handling [closed],['mysql'/ 'mongodb'/ 'spring-boot'/ 'dynamic'/ 'field'],2022-12-19 05:50:37Z,17,0,1,False,,,,,https://stackoverflow.com/questions/74846688/spring-boot-field-handling
Kavishka Rajapakshe,411,Formatting Response from MYSQL,['php'/ 'mysql'/ 'codeigniter-3'],2022-12-19 05:33:03Z,38,1,0,True,Marleen,2018,1,2022-12-19 11:17:35Z,https://stackoverflow.com/questions/74846595/formatting-response-from-mysql
Bullet Tech,1,how to insert for loop all values in database? [duplicate],['php'/ 'mysql'/ 'database'],2022-12-19 05:28:14Z,40,0,-4,False,,,,,https://stackoverflow.com/questions/74846562/how-to-insert-for-loop-all-values-in-database
dikeser638,1,How to select data when colmn is json object using mariaDB,['php'/ 'mysql'/ 'mariadb'],2022-12-19 05:21:02Z,28,0,-1,False,,,,,https://stackoverflow.com/questions/74846530/how-to-select-data-when-colmn-is-json-object-using-mariadb
Vidyasagar Ramachandran,11,How to create Dockerfile for Spring Boot app?,['mysql'/ 'spring-boot'/ 'docker'/ 'kubernetes'],2022-12-19 04:34:47Z,35,1,0,True,Times,1645,0,2022-12-19 07:28:05Z,https://stackoverflow.com/questions/74846326/how-to-create-dockerfile-for-spring-boot-app
Lại Dũng,1,I want to import large numbers of object into sql from java [closed],['java'/ 'mysql'],2022-12-19 04:20:06Z,22,0,-2,False,,,,,https://stackoverflow.com/questions/74846259/i-want-to-import-large-numbers-of-object-into-sql-from-java
inherent,1,why is my php form not sending the data to the data base [closed],['php'/ 'html'/ 'mysql'],2022-12-19 04:08:56Z,41,0,-1,False,,,,,https://stackoverflow.com/questions/74846209/why-is-my-php-form-not-sending-the-data-to-the-data-base
Ged7,1,Is there an easy way to store data from an API using an ajax get request so I can send it to a mysql database?,['javascript'/ 'mysql'/ 'json'/ 'ajax'],2022-12-19 03:59:10Z,30,0,-1,False,,,,,https://stackoverflow.com/questions/74846173/is-there-an-easy-way-to-store-data-from-an-api-using-an-ajax-get-request-so-i-ca
Jaiden Watling,5,Table not sorting or filtering correctly,['php'/ 'mysql'/ 'sorting'],2022-12-19 03:23:31Z,33,1,-1,False,Vengadesh R,39,0,2022-12-19 07:15:23Z,https://stackoverflow.com/questions/74846014/table-not-sorting-or-filtering-correctly
thestewartofny,21,Count unique event per month,['mysql'],2022-12-19 02:04:50Z,56,3,2,False,Siddharth Sathe,1630,0,2022-12-19 03:15:25Z,https://stackoverflow.com/questions/74845731/count-unique-event-per-month
Fortunate,1,How do I resolve error in database connection? [closed],['php'/ 'mysql'/ 'wordpress'/ 'xampp'/ 'localhost'],2022-12-19 01:35:19Z,22,0,-3,False,,,,,https://stackoverflow.com/questions/74845611/how-do-i-resolve-error-in-database-connection
ypdev26,1,Period Duplicate Check SQL query [closed],['mysql'/ 'sql'/ 'mariadb'],2022-12-19 01:26:40Z,26,0,-2,False,,,,,https://stackoverflow.com/questions/74845589/period-duplicate-check-sql-query
Tien Nguyen Phuc,1,How to build an automated auction system with springboot and mysql? [closed],['java'/ 'mysql'/ 'spring-boot'/ 'web'/ 'web-deployment'],2022-12-19 01:12:07Z,30,0,-3,False,,,,,https://stackoverflow.com/questions/74845524/how-to-build-an-automated-auction-system-with-springboot-and-mysql
Jarrod Estepp,5,How to remove an array of items from an array in PHP,['php'/ 'mysql'/ 'laravel'],2022-12-19 00:59:22Z,52,1,0,False,dedy,11,0,2022-12-19 10:50:08Z,https://stackoverflow.com/questions/74845480/how-to-remove-an-array-of-items-from-an-array-in-php
Suiii,1,"How to display the MySQL table where ""id_jurusan from tbl_jurusan"" and ""prodi_id from tbl_prodi"" like the example image below [closed]",['php'/ 'mysql'/ 'json'],2022-12-19 00:22:23Z,22,0,-2,False,,,,,https://stackoverflow.com/questions/74845309/how-to-display-the-mysql-table-where-id-jurusan-from-tbl-jurusan-and-prodi-id
Serenity,79,How to insert data inside a polygon column in mysql table,['mysql'/ 'sql'/ 'phpmyadmin'],2022-12-18 23:51:48Z,24,1,1,True,nbk,39700,1,2022-12-19 00:10:32Z,https://stackoverflow.com/questions/74845183/how-to-insert-data-inside-a-polygon-column-in-mysql-table
Joe Needham,1,Connecting my MySQL database ran with docker-compose to Django,['python'/ 'mysql'/ 'django'/ 'docker-compose'],2022-12-18 23:26:46Z,29,1,0,False,Niko,888,0,2022-12-19 08:05:22Z,https://stackoverflow.com/questions/74845085/connecting-my-mysql-database-ran-with-docker-compose-to-django
treasurer,5,How can I run this SQL query in Laravel? - Call to undefined function LENGTH() [duplicate],['php'/ 'mysql'/ 'laravel'],2022-12-18 23:22:01Z,37,1,0,True,IGP,11600,0,2022-12-19 03:55:49Z,https://stackoverflow.com/questions/74845071/how-can-i-run-this-sql-query-in-laravel-call-to-undefined-function-length
PEDRO,1,Cant connect my mysql windows server via debian VPS [closed],['python'/ 'mysql'/ 'windows'/ 'debian'/ 'mysql-workbench'],2022-12-18 23:03:58Z,18,0,-1,False,,,,,https://stackoverflow.com/questions/74845003/cant-connect-my-mysql-windows-server-via-debian-vps
user2415458,25,SQL Database Design for Chat Application: Preventing Duplicate Chats [closed],['mysql'/ 'sql'/ 'database'/ 'database-design'/ 'chat'],2022-12-18 22:45:58Z,25,0,-2,False,,,,,https://stackoverflow.com/questions/74844905/sql-database-design-for-chat-application-preventing-duplicate-chats
spacehero,1,Changing User Password PhpMyAdmin,['mysql'/ 'phpmyadmin'/ 'password-hash'/ 'change-password'],2022-12-18 22:31:45Z,13,0,0,False,,,,,https://stackoverflow.com/questions/74844841/changing-user-password-phpmyadmin
Vladislav Kolesnik,19,Cannot create Entity in DB without exception,['mysql'/ 'hibernate'/ 'spring-data-jpa'],2022-12-18 22:21:56Z,18,1,0,False,Alien,14400,0,2022-12-19 02:51:13Z,https://stackoverflow.com/questions/74844789/cannot-create-entity-in-db-without-exception
Dominik Peham,11,calculating simple moving average and insert into sql table,['mysql'/ 'mysql-error-1364'],2022-12-18 22:00:53Z,30,1,0,False,lemon,8735,0,2022-12-18 22:39:20Z,https://stackoverflow.com/questions/74844695/calculating-simple-moving-average-and-insert-into-sql-table
Aaron_hbl,21,What is the operation logic of WHERE Clause?,['mysql'],2022-12-18 21:58:31Z,34,2,2,False,Strawberry Milk,29,2,2022-12-18 22:07:59Z,https://stackoverflow.com/questions/74844685/what-is-the-operation-logic-of-where-clause
PenryBelly,5,How do I get notifications if a user sends me a message on my site via a mysql contact form? [duplicate],['php'/ 'mysql'/ 'sql'],2022-12-18 21:46:00Z,20,0,-4,False,,,,,https://stackoverflow.com/questions/74844637/how-do-i-get-notifications-if-a-user-sends-me-a-message-on-my-site-via-a-mysql-c
Vladislav Kolesnik,19,Null Pointer Exception when save entity in DB,['mysql'/ 'sql'/ 'spring-boot'/ 'hibernate'/ 'spring-data-jpa'],2022-12-18 20:06:38Z,21,0,0,False,,,,,https://stackoverflow.com/questions/74844068/null-pointer-exception-when-save-entity-in-db
d4g5h7,3,Letting 2 users see the same row,['php'/ 'mysql'],2022-12-18 20:04:35Z,28,1,0,True,JedJonesUk,51,0,2022-12-18 20:40:09Z,https://stackoverflow.com/questions/74844053/letting-2-users-see-the-same-row
the beast,1,"creating a simpel db with: item, quantity, item minimum, item maximum",['mysql'/ 'database'/ 'qr-code'/ 'texel'],2022-12-18 19:38:21Z,8,0,0,False,,,,,https://stackoverflow.com/questions/74843895/creating-a-simpel-db-with-item-quantity-item-minimum-item-maximum
mgiuffrida,3127,MySQL queries waiting for lock never actually time out,['mysql'],2022-12-18 19:31:47Z,19,2,0,True,ysth,94200,1,2022-12-18 20:17:55Z,https://stackoverflow.com/questions/74843852/mysql-queries-waiting-for-lock-never-actually-time-out
Tahir,1,$row = $result->fetch_assoc() doesn't scroll through all the records [closed],['php'/ 'mysql'/ 'mysqli'],2022-12-18 19:26:19Z,40,0,0,False,,,,,https://stackoverflow.com/questions/74843817/row-result-fetch-assoc-doesnt-scroll-through-all-the-records
champs,683,"How to make mysql table column as KEY, when already another column is set as PRIMARY KEY",['mysql'],2022-12-18 19:25:48Z,35,1,-1,True,Akina,36200,2,2022-12-19 05:53:47Z,https://stackoverflow.com/questions/74843813/how-to-make-mysql-table-column-as-key-when-already-another-column-is-set-as-pri
Vesalek,1,PHP Check if there is another ID in Mysql database [closed],['php'/ 'mysql'],2022-12-18 19:08:32Z,27,0,-2,False,,,,,https://stackoverflow.com/questions/74843710/php-check-if-there-is-another-id-in-mysql-database
acc count,1,Between function is giving me a number that is not in between [closed],['mysql'],2022-12-18 19:03:53Z,28,1,-1,False,Bill Karwin,520000,0,2022-12-18 19:29:09Z,https://stackoverflow.com/questions/74843683/between-function-is-giving-me-a-number-that-is-not-in-between
Kjenn180,1,Had issues with completing this MySQL Command line group assignment. How would one go about this,['mysql'/ 'mysql-command-line-client'],2022-12-18 18:54:52Z,15,0,-1,False,,,,,https://stackoverflow.com/questions/74843629/had-issues-with-completing-this-mysql-command-line-group-assignment-how-would-o
Arturo Andrés Órdenes Barraza,59,Can not insert data here and also can not delet the check constraint of this table,['mysql'],2022-12-18 18:32:49Z,33,1,0,True,ysth,94200,2,2022-12-18 20:05:28Z,https://stackoverflow.com/questions/74843531/can-not-insert-data-here-and-also-can-not-delet-the-check-constraint-of-this-tab
aybb_2000,17,Node.js express res.redirect is not working [duplicate],['javascript'/ 'html'/ 'mysql'/ 'node.js'],2022-12-18 18:30:02Z,31,0,-1,False,,,,,https://stackoverflow.com/questions/74843516/node-js-express-res-redirect-is-not-working
DarkKnight,754,MySQL: 8.0.31 - Large gaps (thousands) in ID Field after few months of usage [closed],['java'/ 'mysql'/ 'database'/ 'mariadb'/ 'mysql-8.0'],2022-12-18 18:01:40Z,48,2,2,False,TheNomad,493,1,2022-12-18 18:10:24Z,https://stackoverflow.com/questions/74843356/mysql-8-0-31-large-gaps-thousands-in-id-field-after-few-months-of-usage
mat,1,how to insert dummy records for a huge number like 150000 for each table in my schema? [closed],['mysql'/ 'sql'/ 'database'/ 'workbench'],2022-12-18 17:54:19Z,26,0,0,False,,,,,https://stackoverflow.com/questions/74843331/how-to-insert-dummy-records-for-a-huge-number-like-150000-for-each-table-in-my-s
Mehdi,54,Transaction does not rollback when exception occurs outside controller,['mysql'/ 'laravel'/ 'transactions'/ 'rollback'],2022-12-18 17:49:16Z,53,2,0,False,Mehdi,54,1,2022-12-19 11:28:44Z,https://stackoverflow.com/questions/74843308/transaction-does-not-rollback-when-exception-occurs-outside-controller
boleroemoji,1,MySQL: Is there an operator to identify unique values?,['mysql'/ 'sql'/ 'syntax'/ 'operators'],2022-12-18 17:18:42Z,36,1,-1,False,nbk,39700,0,2022-12-18 18:51:24Z,https://stackoverflow.com/questions/74843170/mysql-is-there-an-operator-to-identify-unique-values
Jai,1,Error while uninstalling MySQL Server 8.0 (ERROR RESOLVED),['mysql'],2022-12-18 16:13:15Z,17,0,-1,False,,,,,https://stackoverflow.com/questions/74842799/error-while-uninstalling-mysql-server-8-0-error-resolved
sadrick,13,Return even if inner join returns no result,['mysql'],2022-12-18 16:10:19Z,31,2,0,True,kergma,161,1,2022-12-18 17:07:19Z,https://stackoverflow.com/questions/74842783/return-even-if-inner-join-returns-no-result
TheCHE,1,"Pass value in a REGEXP expression MySQL, MariaDB",['mysql'/ 'mariadb'/ 'regexp-replace'/ 'backreference'/ 'mysql-variables'],2022-12-18 16:06:25Z,30,0,0,False,,,,,https://stackoverflow.com/questions/74842759/pass-value-in-a-regexp-expression-mysql-mariadb
Retro_Zapper,3,How to print in next line after a specified set of characters in python? [duplicate],['python'/ 'mysql'/ 'newline'],2022-12-18 16:03:39Z,33,1,-2,True,fre,46,0,2022-12-18 16:22:45Z,https://stackoverflow.com/questions/74842742/how-to-print-in-next-line-after-a-specified-set-of-characters-in-python
Salman Ahmed,1,how to make a login system using MySql and Php fetching data from multi tables? [closed],['php'/ 'mysql'],2022-12-18 15:42:15Z,29,0,-1,False,,,,,https://stackoverflow.com/questions/74842632/how-to-make-a-login-system-using-mysql-and-php-fetching-data-from-multi-tables
Hi I'm Justin,25,SQL Error #1242 - Subquery returns more than 1 row [closed],['mysql'/ 'sql'/ 'phpmyadmin'],2022-12-18 15:17:48Z,43,0,-3,False,,,,,https://stackoverflow.com/questions/74842512/sql-error-1242-subquery-returns-more-than-1-row
MJerbi,11,Retrieving Data through 3 tables. Laravel 9,['php'/ 'mysql'/ 'laravel'/ 'api'/ 'eloquent'],2022-12-18 15:00:11Z,40,1,1,False,JedJonesUk,51,0,2022-12-18 20:07:05Z,https://stackoverflow.com/questions/74842387/retrieving-data-through-3-tables-laravel-9
Annisa Lianda,41,Express JS POST Image get incorrect URL of image,['mysql'/ 'node.js'/ 'express'/ 'sequelize.js'/ 'nodemon'],2022-12-18 14:54:42Z,23,0,-1,False,,,,,https://stackoverflow.com/questions/74842354/express-js-post-image-get-incorrect-url-of-image
Siraj Mehtab,1,Due To 1064(42000) You have an error in your SQL syntax; check the manual that corresponds to your MySQL Server version for the right syntax [closed],['python'/ 'mysql'/ 'mysql-workbench'/ 'python-3.8'/ 'mysql-connector'],2022-12-18 14:40:14Z,26,0,-8,False,,,,,https://stackoverflow.com/questions/74842224/due-to-106442000-you-have-an-error-in-your-sql-syntax-check-the-manual-that-c
Talamproxy,11,Downgrade SQL query from MYSQL 8 to an eqivalent of MYSQL 5.7,['mysql'/ 'mysql-5.7'/ 'mysql-8.0'],2022-12-18 14:37:30Z,13,0,1,False,,,,,https://stackoverflow.com/questions/74842204/downgrade-sql-query-from-mysql-8-to-an-eqivalent-of-mysql-5-7
kieran patel,1,relational algebra expression and the sql query,['mysql'/ 'sql'/ 'relational-algebra'],2022-12-18 14:19:42Z,28,0,-1,False,,,,,https://stackoverflow.com/questions/74842078/relational-algebra-expression-and-the-sql-query
