asker_name,asker_reputation,question,tags,time_asked,views,no_answers,no_votes_question,has_accepted_answer,answerer_name,answerer_reputation,no_votes_answer,time_answered,link
Rahul,33,How can I retrive coding sequences of mitochondrial genomes in R?,['r'/ 'bioinformatics'],2022-11-21 19:34:41Z,29,1,0,False,Vida,305,1,2022-11-25 18:02:27Z,https://stackoverflow.com/questions/74524066/how-can-i-retrive-coding-sequences-of-mitochondrial-genomes-in-r
FrustratedApe,19,Get perturbagens from gene list using cmapPys API function in Python,['python'/ 'bioinformatics'],2022-11-21 11:12:10Z,17,0,0,False,,,,,https://stackoverflow.com/questions/74518017/get-perturbagens-from-gene-list-using-cmappys-api-function-in-python
Michael Yoon,31,"gzip command block returns ""Too many levels of symbolic links""",['gzip'/ 'bioinformatics'/ 'bioconductor'/ 'nextflow'],2022-11-21 01:03:24Z,74,2,2,False,Steve,47700,0,2022-11-21 05:48:02Z,https://stackoverflow.com/questions/74513237/gzip-command-block-returns-too-many-levels-of-symbolic-links
Bioinf,1,Infinite loop (?) and overlapped drawings in turtle python [closed],['python'/ 'bioinformatics'/ 'turtle-graphics'/ 'python-turtle'],2022-11-20 18:40:25Z,38,1,-1,True,Farid Fakhry,334,0,2022-11-20 19:35:53Z,https://stackoverflow.com/questions/74510893/infinite-loop-and-overlapped-drawings-in-turtle-python
navamallika dutta,1,Fastq UMI information invalid,['data-analysis'/ 'bioinformatics'/ 'dna-sequence'/ 'fastq'],2022-11-18 06:09:24Z,23,0,-1,False,,,,,https://stackoverflow.com/questions/74485535/fastq-umi-information-invalid
Michael Yoon,31,"Syntax conflict for ""{"" using Nextflow",['bioinformatics'/ 'bioconductor'/ 'dna-sequence'/ 'fastq'/ 'nextflow'],2022-11-18 04:54:03Z,28,1,1,False,Steve,47700,1,2022-11-18 05:37:05Z,https://stackoverflow.com/questions/74485079/syntax-conflict-for-using-nextflow
smith,11,Nextflow failed to download fastq,['workflow'/ 'bioinformatics'/ 'nextflow'],2022-11-17 01:32:14Z,52,1,1,False,Steve,47700,0,2022-11-18 01:09:25Z,https://stackoverflow.com/questions/74469143/nextflow-failed-to-download-fastq
Nicolas Mendiboure,11,Optimize python pattern matching in nucleotide sequences,['python'/ 'regex'/ 'bioinformatics'/ 'dna-sequence'],2022-11-16 21:36:53Z,84,1,0,False,Ghoti,737,0,2022-11-17 00:33:25Z,https://stackoverflow.com/questions/74467529/optimize-python-pattern-matching-in-nucleotide-sequences
Bách Nguyễn,5,Handleing gff file from MISA,['bash'/ 'bioinformatics'/ 'dna-sequence'/ 'gff'],2022-11-16 14:25:36Z,20,1,0,True,flappix,1856,0,2022-11-16 14:39:10Z,https://stackoverflow.com/questions/74462154/handleing-gff-file-from-misa
Ankita,25,"How to find mean across rows, grouped by first row values?",['r'/ 'bioinformatics'],2022-11-16 13:25:32Z,58,3,0,True,Gregor Thomas,129000,3,2022-11-16 13:59:02Z,https://stackoverflow.com/questions/74461265/how-to-find-mean-across-rows-grouped-by-first-row-values
confusedwproofs,7,ID Conversion from Human Gene Symbols to Zebrafish Gene Symbols,['r'/ 'bioinformatics'],2022-11-15 19:22:19Z,36,1,-2,False,Cloudberry,146,0,2022-11-15 21:24:14Z,https://stackoverflow.com/questions/74451103/id-conversion-from-human-gene-symbols-to-zebrafish-gene-symbols
Gaby,1,"Error in readGenBank(""sequence.gb"") returns false attempting to extract genes from a genbank file in R",['r'/ 'bioinformatics'/ 'genbank'],2022-11-15 00:27:52Z,31,0,0,False,,,,,https://stackoverflow.com/questions/74439401/error-in-readgenbanksequence-gb-returns-false-attempting-to-extract-genes-fr
aleksowski,1,Using a file with specific IDs to extract data from another file into separate files and then using them to get values,['bash'/ 'parsing'/ 'unix'/ 'bioinformatics'],2022-11-14 14:58:04Z,50,2,0,False,kladderradatsch,426,0,2022-11-14 16:34:16Z,https://stackoverflow.com/questions/74433625/using-a-file-with-specific-ids-to-extract-data-from-another-file-into-separate-f
Christian,1,Unable to add qualifier in Artemis 18.2.0,['bioinformatics'/ 'data-annotations'/ 'dna-sequence'/ 'genetic-programming'],2022-11-13 03:00:32Z,13,0,0,False,,,,,https://stackoverflow.com/questions/74418167/unable-to-add-qualifier-in-artemis-18-2-0
tacrolimus,457,Pasting multiple (unknown maximum) columns together past the 2nd column in R,['r'/ 'dataframe'/ 'concatenation'/ 'bioinformatics'],2022-11-12 13:24:28Z,22,1,0,True,AndS.,7100,1,2022-11-12 13:32:28Z,https://stackoverflow.com/questions/74413306/pasting-multiple-unknown-maximum-columns-together-past-the-2nd-column-in-r
zhang,33,Can convert Granges to data.frame,['r'/ 'bioinformatics'/ 'bioconductor'/ 'genomicranges'/ 'iranges'],2022-11-12 07:26:22Z,68,1,1,True,ATpoint,455,1,2022-11-15 14:55:22Z,https://stackoverflow.com/questions/74411108/can-convert-granges-to-data-frame
tviri,1,What is the maximum quality score in a VCF file,['bioinformatics'/ 'vcf-variant-call-format'],2022-11-11 08:50:46Z,31,1,0,False,EAW,588,0,2022-11-16 08:17:06Z,https://stackoverflow.com/questions/74400037/what-is-the-maximum-quality-score-in-a-vcf-file
Hannele Padre,11,Accessing Snakemake Config Samples,['bioinformatics'/ 'snakemake'],2022-11-11 00:17:09Z,31,0,1,False,,,,,https://stackoverflow.com/questions/74396737/accessing-snakemake-config-samples
Martin,51,Why is conda not initiating shell?,['bash'/ 'docker'/ 'conda'/ 'bioinformatics'],2022-11-10 18:22:21Z,20,0,0,False,,,,,https://stackoverflow.com/questions/74393675/why-is-conda-not-initiating-shell
Noobie_bioinformatician,11,Looking for resistance genes in water sample using kmers [Python],['python'/ 'performance'/ 'bioinformatics'],2022-11-10 14:14:06Z,15,0,0,False,,,,,https://stackoverflow.com/questions/74390462/looking-for-resistance-genes-in-water-sample-using-kmers-python
baffoloco,13,Converting Channels into strings in Nextflow DSL2,['groovy'/ 'bioinformatics'/ 'nextflow'],2022-11-10 13:51:50Z,82,1,1,True,Steve,47700,1,2022-11-10 17:08:32Z,https://stackoverflow.com/questions/74390149/converting-channels-into-strings-in-nextflow-dsl2
Mathew,49,Getting the Protein names and their ID for a given list of peptide sequence (using Python),['python'/ 'bioinformatics'/ 'protein-database'],2022-11-10 10:54:58Z,40,1,-3,True,AllAboutMike,86,1,2022-11-10 12:25:49Z,https://stackoverflow.com/questions/74387827/getting-the-protein-names-and-their-id-for-a-given-list-of-peptide-sequence-usi
Rowan,21,Using Docker to install QIIME2,['docker'/ 'virtual-machine'/ 'computer-science'/ 'bioinformatics'/ 'qiime'],2022-11-10 03:22:41Z,46,1,1,False,Nick ODell,11500,1,2022-11-16 01:50:38Z,https://stackoverflow.com/questions/74383795/using-docker-to-install-qiime2
thole,25,Finding matching motifs on sequence and their positions,['python'/ 'position'/ 'bioinformatics'/ 'biopython'/ 'fasta'],2022-11-09 22:11:02Z,56,1,0,True,Ghoti,737,1,2022-11-10 15:39:05Z,https://stackoverflow.com/questions/74381962/finding-matching-motifs-on-sequence-and-their-positions
Varsha Srinivasan,1,"How do I remove the names of plot points in my PCA plot made using Python? I also want to give my first 12 points a color, next 12 another and so on",['pandas'/ 'matplotlib'/ 'scikit-learn'/ 'bioinformatics'/ 'pca'],2022-11-09 05:23:49Z,29,0,0,False,,,,,https://stackoverflow.com/questions/74370267/how-do-i-remove-the-names-of-plot-points-in-my-pca-plot-made-using-python-i-als
Spiritual XOL,11,Single Linkage Clustering in R - Merging step,['r'/ 'cluster-computing'/ 'bioinformatics'/ 'hierarchical-clustering'],2022-11-08 21:11:35Z,29,1,0,False,amol goel,149,0,2022-11-11 12:24:29Z,https://stackoverflow.com/questions/74367225/single-linkage-clustering-in-r-merging-step
austin7923,95,Data extraction for specific string,['json'/ 'bash'/ 'bioinformatics'/ 'data-extraction'/ 'text-manipulation'],2022-11-08 14:30:04Z,69,2,0,True,Reino,2805,1,2022-11-09 18:24:18Z,https://stackoverflow.com/questions/74362409/data-extraction-for-specific-string
TheLordRaj,31,Missing last character when reading FASTA file [c++],['c++'/ 'bioinformatics'/ 'fasta'/ 'dna-sequence'],2022-11-08 06:37:13Z,35,2,0,False,john,80600,0,2022-11-08 07:05:04Z,https://stackoverflow.com/questions/74356567/missing-last-character-when-reading-fasta-file-c
Cornelius Roemer,2337,How to get the number of total scattergather items in Snakemake scatter/gather?,['python'/ 'bioinformatics'/ 'snakemake'],2022-11-06 22:15:48Z,35,1,1,True,SultanOrazbayev,12200,1,2022-11-07 04:32:34Z,https://stackoverflow.com/questions/74340191/how-to-get-the-number-of-total-scattergather-items-in-snakemake-scatter-gather
Riccardo Fusco,21,"Pymol Scripting , How does interate work? How to make a CSV from the interate output",['python'/ 'scripting'/ 'bioinformatics'/ 'pymol'],2022-11-05 14:47:21Z,22,0,0,False,,,,,https://stackoverflow.com/questions/74328705/pymol-scripting-how-does-interate-work-how-to-make-a-csv-from-the-interate-ou
JonahD,11,Making the parallelized calculation of a bottleneck distance matrix more efficient,['r'/ 'data-structures'/ 'bioinformatics'/ 'distance'],2022-11-05 02:41:34Z,26,1,0,False,JonahD,11,0,2022-11-05 03:54:56Z,https://stackoverflow.com/questions/74324707/making-the-parallelized-calculation-of-a-bottleneck-distance-matrix-more-efficie
Fhuad Balogun,27,How to speed up nested for loop with string values in Python,['python'/ 'numpy'/ 'multiprocessing'/ 'bioinformatics'],2022-11-04 07:59:28Z,57,2,1,False,oren revenge,145,1,2022-11-04 08:16:24Z,https://stackoverflow.com/questions/74313799/how-to-speed-up-nested-for-loop-with-string-values-in-python
Julia,1,"""Different row counts implied by arguments"" in attempt to plot BAM file data",['bioinformatics'/ 'bioconductor'],2022-11-03 22:57:19Z,11,0,0,False,,,,,https://stackoverflow.com/questions/74310414/different-row-counts-implied-by-arguments-in-attempt-to-plot-bam-file-data
alessandro valisi,1,Struggling with the installation of cas designer. Occurrence of FileNotFoundError: [WinError 2] The system cannot find the file specif,['path'/ 'subprocess'/ 'bioinformatics'],2022-11-03 10:25:40Z,18,0,0,False,,,,,https://stackoverflow.com/questions/74301482/struggling-with-the-installation-of-cas-designer-occurrence-of-filenotfounderro
Noobie_bioinformatician,11,What's the fastest way to find matches between a list of substrings and a list of strings? Python,['python'/ 'list'/ 'bioinformatics'],2022-11-03 10:06:10Z,41,0,0,False,,,,,https://stackoverflow.com/questions/74301213/whats-the-fastest-way-to-find-matches-between-a-list-of-substrings-and-a-list-o
krishna,1,R Program Version issue,['r'/ 'dataframe'/ 'bioinformatics'/ 'normalization'/ 'r-table'],2022-11-01 07:48:22Z,40,1,0,False,SamR,5521,3,2022-11-01 08:27:51Z,https://stackoverflow.com/questions/74272905/r-program-version-issue
user2954167,145,How to import GTF file in recent versions of R,['r'/ 'import'/ 'bioinformatics'],2022-10-31 01:34:19Z,69,1,0,False,Dan Adams,4619,1,2022-11-01 14:28:31Z,https://stackoverflow.com/questions/74257975/how-to-import-gtf-file-in-recent-versions-of-r
moddymood,9,writing a function in R to produce multiple data frames and counting the data,['r'/ 'computer-science'/ 'bioinformatics'],2022-10-30 20:41:24Z,33,1,0,False,SteveM,2010,0,2022-10-30 22:06:29Z,https://stackoverflow.com/questions/74256603/writing-a-function-in-r-to-produce-multiple-data-frames-and-counting-the-data
melolilili,123,"Arguments imply differing number of rows: 1, 0 when running get_residuals function",['r'/ 'bioinformatics'],2022-10-30 10:12:08Z,16,0,0,False,,,,,https://stackoverflow.com/questions/74252183/arguments-imply-differing-number-of-rows-1-0-when-running-get-residuals-functi
FutureFellwalker,21,rowSums if at least 1 group (set of columns) has greater than N counts in all replicates,['r'/ 'bioinformatics'/ 'rowsum'/ 'rna-seq'],2022-10-28 15:04:07Z,77,2,2,False,akrun,839000,3,2022-10-29 16:56:33Z,https://stackoverflow.com/questions/74237291/rowsums-if-at-least-1-group-set-of-columns-has-greater-than-n-counts-in-all-re
rij,159,replace the number after # using cutoff and modify the column in multicolumn file,['linux'/ 'bash'/ 'awk'/ 'sed'/ 'bioinformatics'],2022-10-28 14:36:39Z,45,2,0,False,stevesliva,5143,0,2022-10-28 15:07:53Z,https://stackoverflow.com/questions/74236953/replace-the-number-after-using-cutoff-and-modify-the-column-in-multicolumn-fil
sometimespetisometimesfeña,31,ERROR in Biostrings while trying to MSA using ggmsa,['r'/ 'bioinformatics'],2022-10-27 19:05:53Z,36,1,0,False,Nick,312,0,2022-11-02 13:06:52Z,https://stackoverflow.com/questions/74227101/error-in-biostrings-while-trying-to-msa-using-ggmsa
edumenotti,1,Parallelize a script in multiple fasta files,['parallel-processing'/ 'bioinformatics'/ 'biopython'],2022-10-27 02:14:57Z,47,2,0,False,j23,2814,1,2022-10-27 11:58:18Z,https://stackoverflow.com/questions/74216040/parallelize-a-script-in-multiple-fasta-files
sometimespetisometimesfeña,31,GGMSA Multiple Sequence Alignment WARNING- aligning 2 out of 5 protein sequences,['r'/ 'bioinformatics'/ 'dna-sequence'/ 'sequence-alignment'],2022-10-26 23:19:56Z,31,0,0,False,,,,,https://stackoverflow.com/questions/74215199/ggmsa-multiple-sequence-alignment-warning-aligning-2-out-of-5-protein-sequences
Riccardo Fusco,21,Calculate Psi/Phi and/or dihaedral Pymol - Pymol API,['python'/ 'bioinformatics'/ 'pymol'],2022-10-26 22:30:07Z,40,1,-1,False,FlaFlam,71,0,2022-11-01 09:45:23Z,https://stackoverflow.com/questions/74214897/calculate-psi-phi-and-or-dihaedral-pymol-pymol-api
Ketan,11,how to use psiblaster to align uniref50 protein db and blast 300m+ queries fastest way with 36 nodes and 52 cores each,['bioinformatics'/ 'biopython'/ 'ncbi'],2022-10-26 21:16:48Z,6,0,0,False,,,,,https://stackoverflow.com/questions/74214317/how-to-use-psiblaster-to-align-uniref50-protein-db-and-blast-300m-queries-faste
Prangan Nath,1,Grep files in subdirectories and write out files for each directory,['linux'/ 'grep'/ 'bioinformatics'],2022-10-25 05:57:10Z,28,1,0,False,knittl,231000,1,2022-10-25 07:35:53Z,https://stackoverflow.com/questions/74189631/grep-files-in-subdirectories-and-write-out-files-for-each-directory
Sergio Cohecha,1,ERROR requesting with Entrez.efetch() - Biopython,['python'/ 'bioinformatics'/ 'biopython'],2022-10-24 19:03:36Z,44,0,0,False,,,,,https://stackoverflow.com/questions/74185654/error-requesting-with-entrez-efetch-biopython
Raghav Thakar,143,Sample a Percentage of Entries in a dataframe but with a Lower Limit,['r'/ 'bioinformatics'],2022-10-24 04:53:38Z,38,1,1,True,socialscientist,3583,1,2022-10-24 08:24:29Z,https://stackoverflow.com/questions/74176819/sample-a-percentage-of-entries-in-a-dataframe-but-with-a-lower-limit
Andreanna,245,SLURM not interpreting array for infile names,['bioinformatics'/ 'slurm'/ 'blast'/ 'sbatch'],2022-10-22 02:07:38Z,26,1,0,True,Carles Fenoy,4262,3,2022-10-22 07:46:46Z,https://stackoverflow.com/questions/74160626/slurm-not-interpreting-array-for-infile-names
SAAD,27,I got the following error while running classify_wf,['python'/ 'operating-system'/ 'bioinformatics'/ 'oserror'],2022-10-21 14:35:32Z,19,0,0,False,,,,,https://stackoverflow.com/questions/74155281/i-got-the-following-error-while-running-classify-wf
xcy12341,11,R Linux error while trying to install apackage,['r'/ 'bioinformatics'/ 'bioconductor'],2022-10-21 12:00:04Z,41,0,1,False,,,,,https://stackoverflow.com/questions/74153295/r-linux-error-while-trying-to-install-apackage
T. Dinc,1,Error installing multiqc from Conda (importlib-metadata),['bioinformatics'],2022-10-20 22:30:48Z,37,1,0,False,mud,1,0,2022-10-21 12:26:33Z,https://stackoverflow.com/questions/74146947/error-installing-multiqc-from-conda-importlib-metadata
raydioactive,1,Unable to download files using FTP from R,['r'/ 'ftp'/ 'windows-10'/ 'bioinformatics'/ 'firewall'],2022-10-20 18:59:53Z,49,0,0,False,,,,,https://stackoverflow.com/questions/74145041/unable-to-download-files-using-ftp-from-r
kaminosekai,3,How to generate all mutan with X number of mutation for a given RNA sequence,['python'/ 'bioinformatics'/ 'biopython'/ 'mutation'],2022-10-20 09:23:51Z,56,1,0,False,user20293793,1,0,2022-10-20 16:34:18Z,https://stackoverflow.com/questions/74137419/how-to-generate-all-mutan-with-x-number-of-mutation-for-a-given-rna-sequence
Himanshu Prajapati,114,How to implement face id authentication in react native android?,['android'/ 'react-native'/ 'bioinformatics'/ 'touch-id'/ 'face-id'],2022-10-20 07:40:48Z,156,2,0,False,mainak,1576,0,2022-10-20 07:46:31Z,https://stackoverflow.com/questions/74136079/how-to-implement-face-id-authentication-in-react-native-android
Aurinko,39,create a list inside nested dictionary,['python'/ 'bioinformatics'],2022-10-19 18:56:21Z,36,2,0,True,JNevill,45000,2,2022-10-19 19:05:13Z,https://stackoverflow.com/questions/74130536/create-a-list-inside-nested-dictionary
Nickmofoe,57,Error message mentions that my dataset is small,['r'/ 'package'/ 'dataset'/ 'bioinformatics'],2022-10-19 13:49:28Z,36,0,0,False,,,,,https://stackoverflow.com/questions/74126553/error-message-mentions-that-my-dataset-is-small
Jatin Kashyap,53,Removing lines depending upon keyword occurance,['bash'/ 'bioinformatics'],2022-10-19 04:28:41Z,42,1,0,True,Gilles Quenot,161000,1,2022-10-20 06:47:40Z,https://stackoverflow.com/questions/74119875/removing-lines-depending-upon-keyword-occurance
TheLordRaj,31,How to remove certain lines when reading FASTA files?,['c++'/ 'bioinformatics'],2022-10-18 22:57:44Z,76,0,2,False,,,,,https://stackoverflow.com/questions/74118282/how-to-remove-certain-lines-when-reading-fasta-files
Math Simp,1,"MATLAB - How do I extract the molecules from an SDF file with an ID in another text file, into a new SDF file?",['matlab'/ 'text'/ 'extract'/ 'bioinformatics'/ 'sdf'],2022-10-17 17:27:25Z,31,1,0,False,Math Simp,1,0,2022-10-17 20:47:07Z,https://stackoverflow.com/questions/74101009/matlab-how-do-i-extract-the-molecules-from-an-sdf-file-with-an-id-in-another-t
kkyyuulleerr,1,Comparison of fastq files reads,['python'/ 'linux'/ 'comparison'/ 'bioinformatics'/ 'fastq'],2022-10-17 06:40:15Z,48,1,0,False,Pierre,33600,0,2022-10-17 09:50:42Z,https://stackoverflow.com/questions/74093389/comparison-of-fastq-files-reads
Khan Inan,1,Calculating the GC content of a list of sequences individually,['python-3.x'/ 'bioinformatics'],2022-10-14 23:10:01Z,51,1,0,False,Adolf Tulenkov,1,0,2022-12-07 20:04:38Z,https://stackoverflow.com/questions/74075576/calculating-the-gc-content-of-a-list-of-sequences-individually
Inan Khan,93,Removing characters from a list of strings if they don't follow a list,['python'/ 'bioinformatics'],2022-10-14 21:10:48Z,43,2,0,True,Osman Mamun,2765,2,2022-10-14 21:27:04Z,https://stackoverflow.com/questions/74074901/removing-characters-from-a-list-of-strings-if-they-dont-follow-a-list
tacrolimus,457,Calculating odds ratios between deciles of data in R,['r'/ 'statistics'/ 'bioinformatics'],2022-10-14 14:27:58Z,69,1,0,True,Quinten,22300,1,2022-10-29 10:43:15Z,https://stackoverflow.com/questions/74070754/calculating-odds-ratios-between-deciles-of-data-in-r
Michela Francesconi,1,why makeGRangesFromDataFrame don't do the IRange,['r'/ 'bioinformatics'/ 'bioconductor'/ 'iranges'],2022-10-14 11:17:30Z,23,0,0,False,,,,,https://stackoverflow.com/questions/74068416/why-makegrangesfromdataframe-dont-do-the-irange
Meetrix,13,Creating a list of positions of a substring within a string (DNA) (Python 3),['python'/ 'string'/ 'indexing'/ 'substring'/ 'bioinformatics'],2022-10-14 11:02:45Z,37,2,1,True,aa_nador,151,0,2022-10-14 11:09:52Z,https://stackoverflow.com/questions/74068237/creating-a-list-of-positions-of-a-substring-within-a-string-dna-python-3
sondre,15,Find samples containing a specific OTU,['r'/ 'bioinformatics'/ 'phyloseq'],2022-10-13 13:23:32Z,37,0,0,False,,,,,https://stackoverflow.com/questions/74056531/find-samples-containing-a-specific-otu
acvo,13,Is there anyway to make this code more efficient? I am running it on a sparse matrix (m) that is around 190k x 30k. Perhaps a way to get rid of loops?,['python'/ 'loops'/ 'matrix'/ 'sparse-matrix'/ 'bioinformatics'],2022-10-13 12:43:40Z,51,1,1,True,hpaulj,212000,1,2022-10-13 15:50:36Z,https://stackoverflow.com/questions/74055998/is-there-anyway-to-make-this-code-more-efficient-i-am-running-it-on-a-sparse-ma
Aurinko,39,structure of the dataframe,['python'/ 'pandas'/ 'bioinformatics'],2022-10-12 15:06:35Z,25,1,0,True,Naveed,11300,0,2022-10-12 15:42:41Z,https://stackoverflow.com/questions/74044138/structure-of-the-dataframe
Asad Prodhan,25,Nextflow rename barcodes and concatenate reads within barcodes,['containers'/ 'workflow'/ 'pipeline'/ 'bioinformatics'/ 'nextflow'],2022-10-12 09:28:30Z,60,1,1,True,Steve,47700,4,2022-10-12 13:28:30Z,https://stackoverflow.com/questions/74039553/nextflow-rename-barcodes-and-concatenate-reads-within-barcodes
Carbon Nanotubes,5,How to Find patterns forming clumps in a string?,['python'/ 'string'/ 'bioinformatics'/ 'biopython'],2022-10-12 02:58:43Z,64,1,0,True,Ghoti,737,0,2022-10-12 21:20:34Z,https://stackoverflow.com/questions/74036021/how-to-find-patterns-forming-clumps-in-a-string
je2018,85,"How to do pairwise comparison of fasta sequences in a file with biopython, but without using a dictionary?",['python'/ 'bioinformatics'/ 'biopython'],2022-10-11 23:44:47Z,41,0,0,False,,,,,https://stackoverflow.com/questions/74035083/how-to-do-pairwise-comparison-of-fasta-sequences-in-a-file-with-biopython-but-w
Lou_A,249,"Why do I get 'Error in UseMethod(""ggplot_build"") : no applicable method for ggplot_build applied to an object of class ""NULL""' when I run an R block",['r'/ 'ggplot2'/ 'bioinformatics'],2022-10-11 19:01:28Z,42,0,0,False,,,,,https://stackoverflow.com/questions/74032917/why-do-i-get-error-in-usemethodggplot-build-no-applicable-method-for-ggpl
mahdiahmad,13,CrossReferencing error; how can fix it in metboAnalystR?,['r'/ 'curl'/ 'bioinformatics'],2022-10-11 13:31:23Z,10,0,0,False,,,,,https://stackoverflow.com/questions/74028968/crossreferencing-error-how-can-fix-it-in-metboanalystr
Katherin Wright,21,inverse normal transformation for gwas dataset,['r'/ 'bioinformatics'/ 'transformation'/ 'normalization'/ 'inverse-transform'],2022-10-11 03:33:24Z,42,0,0,False,,,,,https://stackoverflow.com/questions/74022670/inverse-normal-transformation-for-gwas-dataset
M. Beausoleil,2853,How to rename chromosome_position column in a Beagle file and match it with the index fai?,['regex'/ 'bash'/ 'awk'/ 'bioinformatics'],2022-10-06 14:40:10Z,95,1,0,True,Steve,47700,1,2022-10-08 14:30:14Z,https://stackoverflow.com/questions/73975690/how-to-rename-chromosome-position-column-in-a-beagle-file-and-match-it-with-the
srj8402,41,Snakemake - controlling which wildcards are used in input/output,['python'/ 'wildcard'/ 'bioinformatics'/ 'snakemake'],2022-10-06 03:03:58Z,68,1,2,False,dariober,7573,1,2022-10-06 16:14:53Z,https://stackoverflow.com/questions/73968266/snakemake-controlling-which-wildcards-are-used-in-input-output
virtuoso,11,irlba not installing on Mac OS,['r'/ 'macos'/ 'bioinformatics'/ 'bioconductor'],2022-10-04 20:35:32Z,106,1,0,False,ATpoint,455,0,2022-10-11 11:19:06Z,https://stackoverflow.com/questions/73953385/irlba-not-installing-on-mac-os
Mikhail,1,How to modify parameters of sample ordering in ComplexHeatmap?,['r'/ 'heatmap'/ 'bioinformatics'/ 'waterfall'/ 'complexheatmap'],2022-10-04 13:51:14Z,62,0,0,False,,,,,https://stackoverflow.com/questions/73948965/how-to-modify-parameters-of-sample-ordering-in-complexheatmap
TheLordRaj,31,Protein pairwise alignment c++,['c++'/ 'bioinformatics'/ 'sequence-alignment'],2022-10-04 04:20:16Z,90,0,0,False,,,,,https://stackoverflow.com/questions/73943088/protein-pairwise-alignment-c
Robin C,1,Issues installing dada2 in R v.4.2.1,['r'/ 'bioinformatics'],2022-10-03 22:45:37Z,190,0,0,False,,,,,https://stackoverflow.com/questions/73941491/issues-installing-dada2-in-r-v-4-2-1
Raksha,35,Import SNP data into DendroPy for popgen analyses,['python'/ 'bioinformatics'/ 'dendropy'],2022-10-03 21:38:28Z,48,0,0,False,,,,,https://stackoverflow.com/questions/73941081/import-snp-data-into-dendropy-for-popgen-analyses
Quinn,27,Unable to access jar file (installed in a conda virtual environment),['java'/ 'bash'/ 'jar'/ 'bioinformatics'/ 'picard'],2022-10-03 15:45:25Z,117,1,-1,True,Will Holtz,196,1,2022-10-04 04:53:18Z,https://stackoverflow.com/questions/73937802/unable-to-access-jar-file-installed-in-a-conda-virtual-environment
Programming Noob,1035,Converting a data frame using a formula,['r'/ 'dataframe'/ 'bioinformatics'],2022-10-03 13:54:37Z,61,2,3,False,Allan Cameron,122000,2,2022-10-03 14:05:40Z,https://stackoverflow.com/questions/73936504/converting-a-data-frame-using-a-formula
Shelby Labuschagne,63,Why does my Manhattan plot look like this?,['python'/ 'bioinformatics'/ 'genetics'/ 'gwas'/ 'manhattan'],2022-10-02 14:27:40Z,93,0,0,False,,,,,https://stackoverflow.com/questions/73926611/why-does-my-manhattan-plot-look-like-this
